Japanese,English,Score
先日描いてもらった地図のおかげで、迷わずにここまで来ることができました。,I made it  for  your drawing  map.,0.691015005111694
昨夜はあの探偵小説について夢中になって、午前2時まで夜ふかししてしまったよ。,"I have having over 2 o`clock, to make me fever reading scorrer novel last night.",0.699027419090271
本を読む量が減ったからといって、今の若者の知的欲求が少なくなったということにはならない。,"It is getting worse reading books, but it is no curious for young people.",0.707796454429626
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,The plane has gone when we arrived at airport.,0.709518671035767
沖縄ほど米軍基地が集中している県は日本には他にはない。,There is USA army in Okinawa even other pri in Japan.,0.716057300567627
先日20年ぶりに帰省した。,I came to home until 20 years.,0.720016837120056
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have never ever no  accident,even thought I have taking car 30 yarys.",0.737951040267944
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。, We have been living at hotel until finding some apart anyday.  ,0.759075105190277
外国に行って初めて、日本の大都市のネオンの多さに気づく。,I was surpraise that japan`s city has many neon even gone to abroad.,0.764513969421387
ヨーロッパ旅行中、どこの国に行っても多くの日本人旅行者に出会うのでうんざりしました。,I had sad that met many japanese tourlisets during Eourope trip.,0.775210916996002
学校は勉強だけを教えているところだと思うのは、学校の役割を理解していない証拠です。,It is no understand that schools upply for studys only.,0.786943793296814
私はアンに遅刻したことを誤ったが、許してはくれなかった。,"I said to sorry to late to An,thought She was upset.",0.790638566017151
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,Shall we go to take hikking to Okutama if good weather next Sunday?,0.797016501426697
ウィスキーのボトルを2本も空けて車を運転するのは危険だ。,It is very dengerous driving car after drinking 2 bottles vwisky.,0.811012387275696
はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,"You are better to stay here for miniuts,it heavy rain outside.",0.824280977249146
昨夜、急げば終電に間に合っていただろう。,"If I was hurr up, I made to ride on the last train last night.",0.824472308158875
この頃、天候が変わりやすい。,I think weather is changing reacentlly.,0.827781796455383
健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,It is keeping health that having good meals and taking exasise useally.,0.829798221588135
それは秘密にしておいた方が良い,It is better that is secret.,0.835223078727722
プロ野球はテレビで見るより球場で見た方が100倍面白い。,It is very intersting 100 times to watch baseball studium than TV .,0.84382164478302
英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,I am worrid that could be speccilly even japanese people could speak English.,0.848864197731018
こんなに大雪になったのは20年ぶりだ。,It is heavy snow to become 20 years before.,0.849621772766113
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I had shocked to see the nursery kid had bump of truck this trrafic jam this street.,0.855328321456909
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song make me remember to presious memory when we had stayed N.Y.,0.872928142547607
午前9時発の新幹線は静岡に停車するかどうか教えてください。,"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?",0.885992646217346
東京の気候は私の故郷よりもはるかに穏やかだ。,It Tokyo is better climet than my home country.,0.889730572700501
火災が発生してから30分後に消防隊が到着した。,Fire men came at burns place 30 minuts later.,0.89898407459259
列車で隣に座ったおばあさんに、どこまで行くのと尋ねられた。,"I was asked next grandmother,""Where are you going to?"" on the train.",0.902238607406616
最初トムは冗談を言っていると思ったが、後で本気だとわかった。,"I thought Tom said joking,after that he was thlious.",0.903279423713684
僕は朝食前に必ず30分ほど散歩することにしている。,I uselly taking walk about 30 min.before breakfast.,0.909771680831909
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"It shoud make accident,if he were to ride on that train.",0.91282844543457
今朝からずっと待っているのに、彼はまだ現れない。,"I have waitting for him this morning,He doesn`t come.",0.936485052108765
