Japanese,English,Score,
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",0.95853853225708,
自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,0.696035265922546,
君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,0.836002230644226,
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,0.917803406715393,
安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,0.846640706062317,
母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,0.959729194641113,
沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,0.857292532920837,
こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,0.584802985191345,
一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.",0.771526098251343,
先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,0.789921343326569,
こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,0.720426440238953,
この地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",0.949127316474915,
外はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,0.813356697559357,
この頃、天候が変わりやすい。,These days the weather is changeable. ,0.960816442966461,
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",0.935167789459228,
今度の日曜日、天候がよければ奥多摩にハイキングに行きませんか。,How would you like to go hiking in Okutama next Sunday if the weather is nice.,0.795231997966766,
天気予報によると、台風は今夜半頃、九州地方に接近するそうです。,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,0.788888573646545,
東京の気候は私の故郷よりもはるかに穏やかだ。,The climate in Tokyo is much milder than that in my hometown.,0.96096682548523,
今年の冬は例年になく雪が多い。,We’ve had more snow than usual this winter.,0.855466306209564,
こんなに大雪になったのは20年ぶりだ。,This is the heaviest snowfall we’ve had for the past twenty years.,0.789353668689728,
道が混んでいてバスが予定より20分も遅れたものですから。,"The traffic was heavy, so my bus came twenty minutes late.",0.922989726066589,
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have been driving for almost thirty years, but fortunately I have never had an accident.",0.95296585559845,
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I was shocked at how a small child was run over by a truck at this corner.,0.889426946640015,
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"If he had been on the train, he would have been in the accident.",0.969753563404083,
東京から大阪までは車で行くと、一日がかりですが、飛行機で行くと、一時間です。,"It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",0.883747577667236,
電車もバスもすし詰めで、ずっと立ちっぱなしだった。,"Both the train and the bus were jam-packed, so I had to stand all the way.",0.859094262123108,
目的地に着いたときは、くたくただった。,I was tired out by the time I got to my destination.,0.9120814204216,
人によって考え方はまちまち。誰がどんな趣味を持っているのかはわからぬものだ。,Different people like different things. You can't tell what someone is interested in.,0.765456199645996,
昨夜はあの探偵小説について夢中になって、午前2時まで夜ふかししてしまったよ。,That detective story was so good I couldn't put it down until two this morning.,0.753513753414154,
今までに私が読んだ多くの本の中で、今ちょうど読み終わった小説ほど感銘を受けた本はない。,The novel I've just finished is the best one I've ever read.,0.869802594184876,
本を読むには、積極的に想像力を働かさなければならないからです。,"If you want to get the most out of book, you have to make a conscious effor to stretch your imagination.",0.881912648677826,
読書は我々が子供に伝えなければならない文化遺産の一部だということを忘れてはならない。,We should bear in mind that reading is a part of our cultural heritage that we must hand down to our children.,0.960869431495666,
ウィスキーのボトルを2本も空けて車を運転するのは危険だ。,It would be dangerous to drink two bottles of whiskey and drive a car.,0.93036937713623,
日本の高校生の大半が、大学入試に備えるために塾に行く。,Most Japanese high school students go to a cram school to prepare for college entrance exams.,0.853094339370727,
列車で隣に座ったおばあさんに、どこまで行くのと尋ねられた。,An elderly woman sitting next to me on the train asked me where I was going.,0.880142688751221,
大地震がいつどこで起こるのかは予測不可能だ。,It is impossible to predict where and when there will be a major earthquake.,0.939778208732605,
トムは万事うまくいくと言い張ったが、私は心配で仕方なかった。,"Tom insisted that everythig would be all right, but I couldn't help feeling worried.",0.913138687610626,
僕の発言が彼女を傷つけるなんで思いもしなかった。,It never occurred to me that my remark might hurt her feelings.,0.889133393764496,
大学を卒業したら海外で仕事を探すことに決めている。,I've decided to look for a job abroad when I graduate from college.,0.962520837783814,
10代の頃、父の仕事の関係でカナダに3年間住んだことがある。,I lived in Canada for three years when I was in my teens because my father was transferred there.,0.917717576026916,
インターネットの普及とともに、ここ数年、パソコンの売り上げが急速に伸びている。,"The Internet is widely used, so sales of personal computers have been rapidly increasing over the last few years. ",0.951318979263306,
今朝電車に乗ったとき、空いた席が見つからなかった。,"When I got on the train this morning, I couldn't find an empty seat.",0.955791652202606,
今はめがねをかけていないので、あの標示に何と書いてあるのかわかりません。,"I'm not wearing glasses now, so I can't make out what the sign says.",0.761767983436585,
人間は5~6歳になる頃には、思ったことを表現できる能力を持つようになる。,Humans learn to express what they think by the age of five or six.,0.919819355010986,
先日描いてもらった地図のおかげで、迷わずにここまで来ることができました。,"Thanks to the map you drew me the other day, I managed to get here without getting lost.",0.916719198226929,
ボブはずいぶんと変わっていたので、このまえのクラスで会った時に彼だと分からなかった。,"Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",0.877355217933655,
昨日は数学の予習に追われて4時まで起きていたので、とても眠い。,"I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",0.931583166122436,
図書館から昨日借りてきた小説を読み終えたので、今はすることがない。,"I've finished reading the novel I borrowed from the library yesterday, so now I have nothing to do.",0.930474519729614,
図書館に来る学生の中には、まるで喫茶店にいるかのように振る舞う者がいる。,Some students coming to the library act as if they are in a coffee shop.,0.950225055217743,
子供の頃、もう少し家が広ければと思ったものでした。,"When I was a child, I often wished my house were a little larger.",0.896314740180969,
洪水や地震などの被災者を手助けするボランティアとして活動したい。,"I'd like to work as a volunteer helping victims of natural disasters, such as floods or earthquakes.",0.938668131828308,
トムは素晴らしいドラムを持っていますが、誰にも使わせません。,"Tom has nice drums, and he never lets anyone else play them.",0.885486841201782,
最初トムは冗談を言っていると思ったが、後で本気だとわかった。,"At first I thought Tom was joking, but later I realized he was serious.",0.962618589401245,
この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,"Last Sunday I tried making some Italian food for the first time, and it was delicious. ",0.968589127063751,
私はアンに遅刻したことを誤ったが、許してはくれなかった。,"I apologized to Ann for being late, but she didn't forgive me.",0.933382391929626,
毎日、家事がとても忙しく、映画を観に行く暇がない。,I'm so busy doing the housework every day that I have no time to see a movie.,0.945632874965668,
この木の机は重いので私一人では二階まで運べない。,This wooden desk is too heavy for me to carry upstairs alone.,0.958887815475464,
ヨーロッパ旅行中、どこの国に行っても多くの日本人旅行者に出会うのでうんざりしました。,"While traveling in Europe,I was disappointed that wherever I went, there were many Japanese tourists.",0.884275794029236,
私がプレゼントしたイヤリングをして母が会社に行くのを見て、とてもうれしかった。,I was very happy when I saw my mother going to work wearing the earrings I had bought her.,0.928436994552612,
学校は勉強だけを教えているところだと思うのは、学校の役割を理解していない証拠です。,"If you expect that schools only teach academic subjects, then this proves that you don't understand what schools are for.",0.873177051544189,
たいていの日本人は、大部分の時間を生きるために働いで過ごす。,Most Japanese people spend most of their time working to live.,0.983346283435822,
日本人は、他人を傷つけないように自分の気持ちはできるだけ間接的に表現するのがふつうだ。,Japansse people usually express their feelings as indirectly as possible so that they won't offend others.,0.941912412643433,
大気中のCO2の増加は、地球温暖化と密接な関連がある。,The increase in the amout of CO2 in the atomosphere is closely connected with global warming.,0.92669415473938,
プロ野球はテレビで見るより球場で見た方が100倍面白い。,Professional baseball is far more exciting at a stadium than in TV.,0.884031653404236,
このバイクは、イギリスでは日本のおよそ二倍の値段です。,This motorbike is about twice as expensive in the U.K as in Japan.,0.950291991233826,
本を読む量が減ったからといって、今の若者の知的欲求が少なくなったということにはならない。,"Just because young people today read less than they used to, it doesn't always follow that they are less eager to learn.",0.879955112934112,
率直に言って、私が昨日受けた入学試験は思ってたよりもはるかに難しい。,"Frankly speaking, the entrance exams I took yesterday were far more difficult than I had expected.",0.951938152313232,
世界には食料が有り余っている国もあれば、何万人もの子供が餓死している国もある。,"In some countries people have too much food, while in others tens of thousands of children are starving.",0.923949718475342,
いくら運動しても、カロリーを計算していないと減量は無理だよ。,"However much exercise you get, you won't lose weight unless you count your calories.",0.922040045261383,
日本人の観光客の中には、非常識にも多額の現金をズボンの後ろのポケットに入れて持ち歩く者がいる。,Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.,0.895434260368347,
健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,"In order to stay healthy, you should have a balanced diet and get regular exercise.",0.957142353057861,
外国に行って初めて、日本の大都市のネオンの多さに気づく。,It is not until you go abroad that you realize how many neon lighs there are in big Japanese cities.,0.791812837123871,
英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,It is a pity that many Japanese people mistakenly believe that they have only to speak English to be internationally-minded.,0.96268892288208,
日本の若者の10人のうち7人は、まったく無宗教だと言われる。,It is said that seven out of ten young Japanse people don't believe in religion.,0.887042164802551,
