Japanese,English
ボブはずいぶんと変わっていたので、このまえのクラスで会った時に彼だと分からなかった。,Bob had changed so much that I didn't recognize him when I saw him in class last time.
本を読む量が減ったからといって、今の若者の知的欲求が少なくなったということにはならない。,Just because people are reading fewer books doesn't mean that today's youth have less intellectual appetite.
列車で隣に座ったおばあさんに、どこまで行くのと尋ねられた。,An old lady sitting next to me on the train asked me how far I was going.
本を読むには、積極的に想像力を働かさなければならないからです。,"She replied, ""To read a book, you have to actively use your imagination."
私たちが空港に着いたとき、その飛行機はすでに離陸したあとだった。,"When we arrived at the airport, the plane had already taken off."
東京から大阪までは車で行くと、一日がかりですが、飛行機で行くと、一時間です。,"It takes a whole day to go from Tokyo to Osaka by car, but only an hour by plane."
プロ野球はテレビで見るより球場で見た方が100倍面白い。,Professional baseball is a hundred times more interesting to watch at the stadium than on TV.
ヨーロッパ旅行中、どこの国に行っても多くの日本人旅行者に出会うのでうんざりしました。,"During my trip to Europe, I was fed up with meeting so many Japanese tourists in every country I went to."
トムは素晴らしいドラムを持っていますが、誰にも使わせません。,"Tom has a great drum, but he won't let anyone use it."
日本の若者の10人のうち7人は、まったく無宗教だと言われる。,Seven out of ten young people in Japan are said to have no religion at all.
僕の発言が彼女を傷つけるなんで思いもしなかった。,It never occurred to me that my remark would hurt her.
幼稚園児がこの通りの交差点でトラックにはねられているのを見て、ショックを受けた。,I was shocked to see a kindergartener being hit by a truck at the intersection of this street.
日本人の観光客の中には、非常識にも多額の現金をズボンの後ろのポケットに入れて持ち歩く者がいる。,Some Japanese tourists insanely carry large amounts of cash in the back pockets of their pants.
子供の頃、もう少し家が広ければと思ったものでした。,"When I was a kid, I used to wish my house was a bit bigger."
この箱を運ぶのにちょっと手を貸していただけませんか。,Can you give me a hand carrying this box?
僕は朝食前に必ず30分ほど散歩することにしている。,I always take a half an hour walk before breakfast.
目的地に着いたときは、くたくただった。,"When I arrived at my destination, I was exhausted."
トムは万事うまくいくと言い張ったが、私は心配で仕方なかった。,"Tom insisted that all would be well, but I was worried."
先日描いてもらった地図のおかげで、迷わずにここまで来ることができました。,"Thanks to the map I had drawn the other day, I was able to get here without getting lost."
10代の頃、父の仕事の関係でカナダに3年間住んだことがある。,"When I was a teenager, I had lived in Canada for three years because of my father's work."
この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,"These days, many people do most of their errands on their cell phones."
丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,Washing your hands carefully is the best way to stop the spread of germs.
人間は5~6歳になる頃には、思ったことを表現できる能力を持つようになる。,"By the time a person is 5~6 years old, they have the ability to express their thoughts."
いくら運動しても、カロリーを計算していないと減量は無理だよ。,"No matter how much you exercise, you can't lose weight if you haven't calculated your calories."
道が混んでいてバスが予定より20分も遅れたものですから。,The bus was 20 minutes late because the roads were crowded.
学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school, he is sure to get over his cold within a few days."
世界には食料が有り余っている国もあれば、何万人もの子供が餓死している国もある。,"There are countries in the world where there is a surplus of food, and countries where tens of thousands of children are starving to death."
大気中のCO2の増加は、地球温暖化と密接な関連がある。,The increase of CO2 in the atmosphere is closely related to global warming.
私がプレゼントしたイヤリングをして母が会社に行くのを見て、とてもうれしかった。,I was very happy to see my mother going to work wearing the earrings I gave her.
ウィスキーのボトルを2本も空けて車を運転するのは危険だ。,It is dangerous to drive a car with two bottles of whiskey empty.
図書館から昨日借りてきた小説を読み終えたので、今はすることがない。,"I finished reading the novel I borrowed from the library yesterday, so now I have nothing to do."
昨日は数学の予習に追われて4時まで起きていたので、とても眠い。,I'm very sleepy since I stayed up until four o'clock yesterday to prepare for math.
お金があれば、もう一泊するのだが。,"If I had the money, I would stay another night."
私はアンに遅刻したことを誤ったが、許してはくれなかった。,"I made the mistake of being late to Ann, but she didn't forgive me."
梅雨に入ってからこの二週間近くも降ったりやんだりしている。,It has been raining on and off for almost two weeks now since the start of the rainy season.
洪水や地震などの被災者を手助けするボランティアとして活動したい。,I want to work as a volunteer to help victims of floods and earthquakes.
大地震がいつどこで起こるのかは予測不可能だ。,It is unpredictable when and where a major earthquake will strike.
火災が発生してから30分後に消防隊が到着した。,The fire department arrived half an hour after the fire broke out.
私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but will eventually find an apartment."
日本人は、他人を傷つけないように自分の気持ちはできるだけ間接的に表現するのがふつうだ。,Japanese people usually express their feelings as indirectly as possible so as not to hurt others.
毎日、家事がとても忙しく、映画を観に行く暇がない。,I am very busy with housework every day and have no time to go see a movie.
この地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this region, the cherry blossoms bloom at the end of March and reach full bloom in early April."
まだ決めたわけではありませんが、会社を辞める事を考えています。,"I haven't decided yet, but I am thinking about quitting my job."
図書館に来る学生の中には、まるで喫茶店にいるかのように振る舞う者がいる。,Some of the students who come to the library act as if they are in a coffee shop.
このバイクは、イギリスでは日本のおよそ二倍の値段です。,This bike costs roughly twice as much in the UK as it does in Japan.
朝起きたら最初に何をしますか。,What is the first thing you do when you wake up in the morning?
インターネットの普及とともに、ここ数年、パソコンの売り上げが急速に伸びている。,"With the spread of the Internet, the sales of computers have been growing rapidly in the past few years."
率直に言って、私が昨日受けた入学試験は思ってたよりもはるかに難しい。,"Frankly speaking, the entrance exam I took yesterday was much harder than I thought it would be."
私は自動車を運転してほとんど30年になるが、幸いこれまで事故にあったことがない。,"I have been driving a car for almost 30 years now, and fortunately I have never been in an accident."
今朝電車に乗ったとき、空いた席が見つからなかった。,"When I got on the train this morning, I couldn't find an empty seat."
健康を維持する秘訣は、バランスのとれた食事をし定期的に運動することです。,The secret to staying healthy is to eat a balanced diet and exercise regularly.
この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,This song always reminds me of our days in New York.
この木の机は重いので私一人では二階まで運べない。,This wooden desk is too heavy for me to carry upstairs by myself.
今朝からずっと待っているのに、彼はまだ現れない。,"I've been waiting for him since this morning, but he hasn't shown up yet."
母親のわが子に対する愛情ほど美しいものはない。,There is nothing more beautiful than a mother's love for her child.
この頃、天候が変わりやすい。,The weather is changeable these days.
読書は我々が子供に伝えなければならない文化遺産の一部だということを忘れてはならない。,We must not forget that reading is part of our cultural heritage that we must pass on to our children.
東京の気候は私の故郷よりもはるかに穏やかだ。,The weather in Tokyo is much milder than in my hometown.
大学を卒業したら海外で仕事を探すことに決めている。,I have decided to look for a job abroad after I graduate from college.
最初トムは冗談を言っていると思ったが、後で本気だとわかった。,"At first I thought Tom was joking, but later I realized he was serious."
英語を話せさえすれば国際人になれると勘違いしている日本人が多いのは残念だ。,"It's a pity that many Japanese people mistakenly believe that as long as they can speak English, they can become a cosmopolitan."
その店で買い物をしていたら、旧友のジムに会いました。,"While I was shopping at that store, I met an old friend of mine, Jim."
日本を訪れる外国人観光客は年々増えている。,The number of foreign tourists visiting Japan is increasing every year.
この前の日曜日、生まれて初めてイタリア料理に挑戦してみましたが、とってもおいしいものができました。,"This past Sunday, I tried Italian cooking for the first time in my life, and it turned out to be very delicious."
ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked very hard to support his family of four.
もし彼がその電車に乗っていたら、事故に巻き込まれたでしょう。,"If he had been on that train, he would have been involved in an accident."
たいていの日本人は、大部分の時間を生きるために働いで過ごす。,Most Japanese people spend most of their time working to live.
