ID,Japanese,Correct,English,label
10,新郎新婦は、五時半の特急で新婚旅行に出かけます。,the bride and groom are leaving on their honeymoon on the 5:30 express.,New merring men and women are leaving travel of marring by special train half to 5 o'clock.,110
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.", We have been living at hotel until finding some apart anyday.  ,000
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We are living in a hotel for long time, but will find an apartment after a while.",001
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.",011
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.","We live in a hotel for a while, we would find an apartment.",101
11,私たちは当面ホテル住まいをしているが、いずれマンションを見つけるつもりです。,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",We will find a manshon ,000
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","I will diside absent scool and stay home, it will be recove from cold couple of days.",000
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","If he stays home from school, he will get over his cold in a few days.",111
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",He must recover from sick in a few days if he absents from school and stay in his house,010
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.",If he will be absent from school to stay home. his cold is must be cured.,011
12,学校を休んで家にいれば、彼は数日中に風邪が治るに違いない。,"If he stays home from school for a few days, he will get over his cold.","If he is absent from school and stays home, he must be able to get over his cold within a few days.",111
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,Foreign tourist to visit Japan increase year by year.,011
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of foreigners visiting Japan is increasing year by year.,111
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of foreign tourists who visit Japan is increasing.,111
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,The number of visitors from foreigen countries to Japan is increasing year by year.,110
13,日本を訪れる外国人観光客は年々増えている。,Every year more and more foreign tourists are visiting Japan.,It is yearly incline that other country tourists visit Japan.,101
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,"I went to Enoshima for the swimming the summer before last,",111
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to Enoshima for sea bathing in summer two years ago.,111
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to Enoshima to swim in the summer before last year.,111
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,"In the summmer two years ago, I went bathing to Enoshima beach.",010
14,私はおととしの夏、江ノ島に海水浴に行った。,I went swimming in Enoshima the summer before last.,I went to swin at Enoshima the summer before last year.,110
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"These days, many people do most of their business with their cellphones.",101
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"In these days, a lot of people do every thing with cell phone.",000
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"These days, many people use their mobile phones to do most work they have to.",101
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"In these days, most of the things can be done by mobile phones.",001
15,この頃、ほとんどの用事は携帯電話で済ませてしまう人が多い。,Nowadays many people get almost everything done by using their cellphones.,"Recently, many people do most of their work by using thier cellphone.",100
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The Cabinet's approval rating has soared sicce the past two months.,110
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,Number of person agree with minister increased in this two month.,001
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,"In the last two months, the rate of support for the government increased rapidly.",101
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The supportive rate for the government has surged in these two months.,101
16,この二か月で内閣支持率を急上昇した。,The approval rating for the Cabinet has been rising sharply for the last two months.,The rating of    is increased rapidly in this two months.,001
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,"What do you do first ,when you wake up the morning?",011
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you get up.,111
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you wake up in the morning?,111
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What to do first in the morning.,101
17,朝起きたら最初に何をしますか。,What is the first thing you do after you get up?,What do you do first when you wake up in the morning?,111
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It is better that is secret.,111
18,それは秘密にしておいた方が良い,You should leave it unsaid.,You had better keep it a secret.,111
18,それは秘密にしておいた方が良い,You should leave it unsaid.,You had better keep it a secret.,111
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It's better to keep it a secret.,111
18,それは秘密にしておいた方が良い,You should leave it unsaid.,It is better for you to keep it secret.,111
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had no choice but to take back what he had said.,111
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had to withdrae his comment.,110
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had no way except taking back what he said.,011
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister had to admit what he said was wrong.,111
19,大臣は前言の撤回をせざるをえなかった。,The minister had to admit that what he said was wrong.,The minister forced to cancel previous opinion.,001
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,"After I lost her, I realized that there was something money couldn't buy for the first time.",111
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I knew there is a thing not to buy money to lose her.,101
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.,001
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,"Only when I had lost her, I knew that there are things that I can't buy with money.",111
20,彼女を失ってはじめて、お金では買えないものがあることを知った。,I had thought I could buy anything with money until I lost her.,I lost her and this was the first time for me to find out that there was cashless.,101
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Recentlly, It be abel to take abroad trips cheeply couse preousiou en.",000
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the increase of yen's value, we can travel abroad at a lower price.",011
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.",011
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.",011
21,円高のおかげで、最近は海外旅行が安くできるようになった。,"Thanks to the strong yen, we can travel abroad for less money these days.","Recently, someone can go abroad to expensive yen.",101
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Please help me to carry this box.,101
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you help me carry yhis box.,100
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you give me a hand to bring this box.,011
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,Could you please help us to bring this box?,101
22,この箱を運ぶのにちょっと手を貸していただけませんか。,Could you give me a hand with this box?,please help me to carrying the box.,001
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","When I was shopping, I met old friend, Jim.",111
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","While I went shopping at that store, I met an old friend,Jim.",111
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","I was shopping at that store, I met old friend Jim. ",111
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","I met Jim who is my old friend, when I bought someone in it's store.",100
23,その店で買い物をしていたら、旧友のジムに会いました。,"I was shopping I ran into Jim, an old friend of mine.","When I was shopping this store, I met Jim of old friend.",111
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Fire men came at burns place 30 minuts later.,000
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Firefighters arrived 30 minutes after the fire accident broke out.,111
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,The firefighters arrived after the fire got started.,101
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,Firemen reached 30 minitues after the fire happened.,110
24,火災が発生してから30分後に消防隊が到着した。,The fire brigade arrived 30 minutes after the fire broke out.,it have arrived at 30 minutes later since causing  fire.,000
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,Mr.White worked hard to feed his four family.,110
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,Mr. White worked hard in order to taking care of his family of 4.,011
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,"Mr,White worked hardly to feed his family of 4. ",011
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,White-san worked hard to support his family of four.,111
25,ホワイト氏は、四人家族を養うために一生懸命働いた。,Mr. White worked hard to support a family of four.,"Mr,white worked hard to grow four person family.",101
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked softly so that the baby wouldn't wake up.,111
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked slowly not to wake up baby.,111
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked slowly to not wake the baby up.,011
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked quietly not to awake the baby.,110
26,赤ちゃんが目を覚まさないように、私はそっと歩いた。,I crept around so as not to wake up the baby.,I walked quietly so that the baby wouldn't wake up.,111
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song make me remember to presious memory when we had stayed N.Y.,000
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","When I was listen to the music, I recognized the days in New York.",001
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.",This song always reminds me of the day we epend in New York.,110
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","Whenever I hear this song, which reminds me the days we spend in New York.",011
27,この歌を聞くといつも私たちが過ごしたニューヨークの日々を思い出す。,"When I hear this song, I’m always reminded of the days when we lived in New York.","Whenever I hear this song, I remember the days I spent in New York.",111
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,It is strang that no tenderlling own home.,000
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,There is rarely noone who doesn't have even a little love towards their own hometown.,110
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,Hardly ever don't feel emotions own town.,101
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,Few people feel no affection for their hometown.,111
28,自分の故郷に少しも愛情を感じない人はめったにいません。,Most people love their hometown.,It is rare person that one's hometown do not feel in love.,011
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,"If you want to pass exam of uni, you should be sutdy hard.",000
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,It depends on the amount of study you do in the next one year whether you pass the exam of college.,111
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Whether you pass the entrance exam for the university or not will be up to how mucu you study hard next one year.,110
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,Whether you pass the test for univercity depends on your amount of study over the next year.,110
29,君が大学に合格するかどうかは今後1年間の君の勉強量にかかっている。,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,you do amount of the studying whether to pass university.,001
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing your hands carefully is the best way to stop the spread of germs.,111
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,to wash hands politely is the best way to stop movement of bacteria. ,011
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing hands cleanly is the best way to prevent to not spread virus.,011
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,Washing your hands neatly is the best way to curb the spreading of germs.,111
30,丁寧に手を洗うことが、ばい菌の広がりを食い止める最良の方法である。,The best way to prevent the spread of germs is to wash your hands thoroughly.,It is the best way to wash hands many times in order to avoid spreading the virus. ,101
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,Cheap sales are not in the interest of all consumers.,101
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,To sale is not necessary benefit of all customer.,000
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,Not all consumers think that cheap sales will be benefit.,001
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,Bargains are not       customers.,000
31,安売りがすべての消費者の利益になるとは限らない。,Not all bargains mean saving for the consumers.,The cheep does not always lead to consumer's benefit.,110
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,No beautiful even mothers love child.,001
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,There is nothing more beautiful than a mother's love for her child.,111
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,Nothing is more beautiful than a mother's love for her child.,111
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,There is no beautiful thing rather than lovely passion to child from mother.,011
32,母親のわが子に対する愛情ほど美しいものはない。,Nothing is as beautiful as a mother’s love for her children.,No other beautiful thing love mother to son.,101
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,There is USA army in Okinawa even other pri in Japan.,101
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,Okinawa is only the place where so many American military bases placed in.,001
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,"No other in Japan, Okinawa       prefecture",000
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture in Japan has as many US military bases as Okinawa.,111
33,沖縄ほど米軍基地が集中している県は日本には他にはない。,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,No other prefecture of Japan are a lot of American base in Okinawa.,011
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,I`ve ever find heavy taihoon first time.,000
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,I never had such a terrible typhoon.,111
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,It's been a first time for me to experience such a strong typhoon.,011
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,A    typhoon is for the first time in my life. ,101
34,こんなすさまじい台風は生まれて始めてだ。,This is the worst typhoon I’ve experienced.,"For the first time in my life, it is terrible typhoon.",001
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people become kind as the get older. ",100
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.","In general , Man    his age",000
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, the older people become, the more generous they become.",111
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.","Generally speaking, people get generous as they get older.",101
35,一般的に言って、人は年を取るにつれて、ますます寛大になるのです。,"Generally speaking, the older people get, he more broad-minded they become.","In general, the more people become older, the more people become tolerable. ",111
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,I came to home until 20 years.,001
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,I went to hometown the other day for the first time in 20 years.,011
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,I went home for the first time in 20years the other day.,111
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,The other day I went home for the first time in 20 years.,111
36,先日20年ぶりに帰省した。,I went back to my hometown for the first time in twenty years the other day.,I have been to home last month since 20 years.,101
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,Local people said it is rare in this fine weather.,101
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,The local people said that it has been a long time since we have had such a good weather.,011
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,"Local persons said ""It's been a while such a beatiful weather we have"".",110
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,Local people said that there was no such sunny day for a long time. ,111
37,こんなにいい天気は久しぶりですと地元の人が言っていた。,The local people said that it was the most beautiful day for years.,Person of this resion said it is very good weather.,000
38,の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",Cherry blossoms bloom around the end of March and bloom in early April in this region.,111
38,の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",cherry blossom start blooming in march and become full in april in this area.,100
38,の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In this area, the cherry blossoms bloom at the end of March and become full bloom in early April.",111
38,の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.","In this area, cherry blossoms start to bloom in the end of March, and they are in full bloom in the beginning of April.",011
38,の地方では、桜の花は3月の終わり頃に咲き、4月上旬に満開となる。,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",The sakura start blooming at the end of March and it fully blooms at early of April.,010
39,はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,"You are better to stay here for miniuts, it heavy rain outside.",010
39,はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,"Because it rains heavily in outside, you better staying here for a while.",011
39,はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,"Because of heavy rain outside, you should stay here for a while.",111
39,はひどい雨だから、もうしばらくここにおいでになった方がようでしょう。,It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining terribly outside, so it is better for you to stay here for a a while.",111
